Resource Type,Region,Identifier,Nukable
iam-role,global,add-jump-to-stats-tables-aggrWorkerLastActiveJobS-O9AQCYIF8JKU,-
iam-role,global,add-jump-to-stats-tables-ApiV1ApiCloudWatchRole8D-1XESZH6Z9AMR7,-
iam-role,global,add-jump-to-stats-tables-BucketNotificationsHandl-1C3WMM2RUTBQH,-
iam-role,global,add-jump-to-stats-tables-BucketNotificationsHandl-1NY6P9RGUY08U,-
iam-role,global,add-jump-to-stats-tables-BucketNotificationsHandl-36GURE8QC78A,-
iam-role,global,add-jump-to-stats-tables-cleanupGoalTableJobServi-1LO10FI0IR37C,-
iam-role,global,add-jump-to-stats-tables-concatFilesFnServiceRole-DEP2RV8J7UKU,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-110BTLAC02KKK,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-14GLYN6KYOZL0,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-15POP6D66Q6KS,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1A4YC1UL72QG0,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1COTHWA18D5Q3,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1D83IBEP05IZT,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1HFQLDIKXWUZF,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1HW59QEZGUJIC,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1IPSCDVHV2QJA,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1N0H9M3LUI4E3,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1O8DRZ5GRJG3G,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1Q3OZDS45Q43T,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-1UR3O1GL8QL6X,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-2JO872BNSFM8,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-3OQE5WSS6HUK,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-5IW0HHUHPB8R,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-62AFDVUUJQ2S,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-7HKV8PGFIQC4,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-A2567JWHIAMG,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-CBJXAAHTCIU5,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-HRT6SPWVPQDS,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-J86Z8WC5KC4O,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-L5DB524LWEQ6,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-L6GHSJX6XVKZ,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-P08R5RQX9VH0,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-QTQ6ORFM7ISK,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-RYYLMF74Q2FW,-
iam-role,global,add-jump-to-stats-tables-CustomResourceHandlerSer-ZQQ4AEUWNAZ5,-
iam-role,global,add-jump-to-stats-tables-CustomS3AutoDeleteObject-1QAZNFIP9NZAK,-
iam-role,global,add-jump-to-stats-tables-CustomS3AutoDeleteObject-1SEOZ3H2DE6E6,-
iam-role,global,add-jump-to-stats-tables-CustomS3AutoDeleteObject-2FUHO057B82Q,-
iam-role,global,add-jump-to-stats-tables-CustomS3AutoDeleteObject-6YGQCEN0BHHK,-
iam-role,global,add-jump-to-stats-tables-CustomS3AutoDeleteObject-BPF6TG8C9TEY,-
iam-role,global,add-jump-to-stats-tables-CustomS3AutoDeleteObject-RW909JJG3IYG,-
iam-role,global,add-jump-to-stats-tables-dataapiapiLambdaPOSTprox-1MMTUWFOO5E1J,-
iam-role,global,add-jump-to-stats-tables-dataapiMetricsActivityLo-1ENDVUEG4SOFQ,-
iam-role,global,add-jump-to-stats-tables-ExportEmployeeActivityFn-1P8XKI377LPWL,-
iam-role,global,add-jump-to-stats-tables-ExportEmployeeActivitySt-1O2PAMALRTC6U,-
iam-role,global,add-jump-to-stats-tables-ExportEmployeeDailyActiv-15THBG0J0J5SZ,-
